,資料類別,編號,content,Unit,修正後區域標記,修正後情緒標記,subject1,subject2,subject3,subject4,subject5,reCheckedEmotion,reCheckedsubject,freq
1463,2020市總,5149,蘇議員炎城請問經發局，有關本洲工業區開發土地變更為商業區的問題，本案經市長考量為了保障當地市民的土地正義，並兼顧未來地區的發展，同意停止開發。本洲工業區的土地面積廣大，本洲工業區北側擴大區域在102年6月3日經過環保署環評駁回申請許可，經濟部工業局在102年7月16日正式駁回本案，劃紅線的部分就是它的範圍。,['高雄市政府經濟發展局'],0,3,19, , , , ,1,19,135
240,2021市總,860,李四川副市長，剛剛講到很多的建設都是欲言又止，我們的路平專案的確有改善，你是政績裡面的功臣，是不是補充一下，拆平交道跟恢復的狀況，以後會造成塞車的狀況，像剛剛質詢的內容，或是其他的，有哪一部分你有什麼不同的看法？你可以跟本席反映。現在是民主社會都是公平、公正、公開，官員有沒有做事我們都看在眼裡，有做事的都會肯定、也會支持。沒有做事的、打混的，你也許可以混過我的眼睛，但不見得混得過別人的眼睛。副市長，以你的專業回答一下。主席（陸副議長淑美）：請李副市長答復。李副市長四川：剛才黃文益議員一直在談大順陸橋的部分，我要跟陳議員報告，今年到目前為止我們已經拆了5座陸橋，剛才他一直不讓我答復。我是要告訴他，他講的義勇路所做的鋪路，在他質詢的時候說我們做不好，我是要養工處告訴他，做不好的是中華電信，要求中華電信必須要去改善。但是他在第二次的質詢，我才會說：「已經告訴你，這個不是我們做的，我們會改善。」但是他還是繼續質詢。第二個，有關大順陸橋的部分，其實原來的規劃是在去年前朝就已經發包了，後來工務局跟我簡報的時候，就跟他指示切割式的拆橋時間會拉很長，我們就用敲除的方式，敲除的部分我們節省了一千多萬的經費。我到現場去的時候，整體的排水系統只做了一半，排水系統又受管線的影響，所以那時候我們才去做變更設計，把所有的管線單位，包括排水整個把它做好。當然施工一定有順序，因為要讓交通能夠順利進行，所以中間做完了以後才能做旁邊的側溝，所以留了10公分的高低差。否則如果像黃議員談的要一次把它做好，也許做側溝的時候會比中間還高，水就沒有辦法排下去，所以我一直跟他釐清，但是他一直聽不懂這個狀況。但是我也要跟陳議員報告，這個工程這樣的變更，我們把整體的排水系統做變更，還省了700多萬的預算，包括所有其餘的在地議員都認為大順陸橋在新工處的施工下做得相當好。當然議員有質詢的權責我們都尊重，對於路平的部分，我們所有的施工團隊還是會繼續努力。但是我也期望所有的議員能對我們的施工團隊，如果有做好的部分，誠如剛才陳議員講的，做好的就應該給他鼓勵；做不好的，在這裡該被罵的我都接受。謝謝。陳議員明澤：有些事情，議員質詢都是因為民眾反映出來的，有些你們是專業，在質詢上都會有溝通的問題，如果做不好的當然要提出來，讓大家改善，有些事情就是這樣。我舉個例子，議員質詢都是替百姓在把關，你可以接受也可以去溝通，我相信這樣的情況對市府是最好的，我們有監督之責，你們做不好的，如果有講錯了，罵錯了，大家也都是為了市政的推動。這個也請工務局，就是權責單位要去溝通好，有時候因為我們不是專業，所以會有誤會，這是很正常的。,"['高雄市政府工務局', '高雄市政府工務局新建工程處', '高雄市政府工務局養護工程處']",0,2,0,2, , , ,0,0,333
876,2020新聞,3790,東海食品行無良販售過期食品，檢警搜索驚見活蟲在義大利麵條包裝內蠕動，東海王耀榮父子應訊竟無恥說：「有蟲也不會怎麼樣，我們家也在吃。」兩人被收押後檢方已著手清查犯罪所得及王家資產，準備凍結扣押。而本案檢舉人按高雄市食安獎勵辦法，未來視業者受罰金額，最高可分得兩億四千萬元獎金。檢舉人最多可獲2.4億專案小組前天搜索東海發現，業者怕改貼有效期限標籤被發現，把印標籤的印表機藏在辦公桌後方櫃子裡，且用布簾遮住，衛生官員則查扣許多生鏽罐頭，過期品包括德國豬肝醬過期七年，還有康寶白汁粉、金蘭烤肉醬、含蟲義大利麵等，業者堅稱有蟲不會怎麼樣，「麵冰在冰箱，蟲就會死光，（麵）再煮沸就可以吃。」而本案奸商東海、見豐，皆將面臨《食安法》六萬元至兩億元罰款，另依高雄市檢舉食安獎勵辦法，檢舉人可分罰款六成當獎金，介於七萬二千至二億四千萬元。檢舉人昨透過高市議員連立堅表示，很高興能幫政府捉黑心業者，至於獎金則是「意外驚喜」，但也擔心身分曝光會遭報復。,[],0,3,22, , , , ,1,22,108
2081,2020部門,6633,所以我想，問到這樣以後，我覺得也是很傷心的一個問題，人很聰明，法規訂的很好，但是在執行的不管是官員教民眾，因為民眾可能不懂，為什麼農舍會那麼的…，你說的一個頭兩個大，農舍，其實那個就牽涉到農業不可分離的東西，農業不可分離啦！局長你可知道？若以我的狀況，我也可以用農業不可分離這個觀念。主席，其實都是用農業不可分離，很多可以避稅，很多可以興建。我也知道農地若1甲可蓋1分半，蓋一分都沒有關係，要蓋怎麼樣，那個不是豪宅，我們只有好不好的「好」，最重要的是你有沒有真的在從事農業，根本都是假的，有些人就是在走模糊地帶，走法律邊緣，走「雲端」的，根本也沒什麼，他也是硬拗，叫官員做什麼的，這個人家一查下去，尤其是候選人又被人家說話，就很「糟糕」，想要講也不是，不講也不是，塞在那裡，所以我想如果做所有的，就像昨天蕭議員永達講的，如果要參選的，尤其是公眾人物的就要維持自己好的形象，你就知道他說那個故事給你聽，他太太就說過，你服務處要怎麼樣就怎麼樣，那都有一定的標準，不然人家民眾管你形象好還是不好，都不管了，不用管。但是你自己是公眾人物就要好好的自我督管，不然你就很「糟糕」了。我現在講的，我沒有什麼政黨色彩，也沒有什麼意識形態，我講的是泛指我們同事、好朋友蕭議員永達就講到這些，自己本身就要潔身自愛，尤其是當公眾人物領導人的，更應該要以最高的標準來督促要求管理自己，不然有時候會被嚴格的檢視，那時候哀哀叫都沒有用了。,[],0,3,20, , , , ,1,20,99
2879,2020部門,10075,何議員權峰：首先要來談鐵路地下化，我想大家都很清楚，將近一千億對高雄市影響非常重大的工程－鐵路地下化即將在下個月完工，火車即將下地。我們跟吳益政議員前一陣子都有到實際的鐵路地下化工程去看，其實已經陸陸續續接近完工。我等一下要先請教交通局，我們都知道鐵路地下化第一階段完成之後，不僅是鐵路下地，還增設了7個通勤化的車站，我們姑且可以把鐵路當成捷運化，它有通這些車站，我們也看到公布的時刻調整重點，你看第四個就告訴我們左營站29班高鐵直達車皆可於15分鐘與台鐵相互轉乘，就表示可以在15分鐘內透過台鐵鐵路化的車站到那邊去搭乘，譬如從左營到內惟、美術館、鼓山，到達高雄車站來轉乘紅橘兩線捷運的部分。我想請教一下交通局，對於你們掌握整個大眾運輸行走的路線，你們有沒有跟台鐵溝通過，他們目前這樣的規劃是不是符合高雄對大眾運輸捷運路網的需求，未來有可能透過市民朋友的反應，透過高雄市政府也可能適度的來調整班次的時間，因為畢竟捷運化，另外還有一個很重要的功能就是高雄到台北火車的部分，交通局有沒有掌握整個大眾運輸路網相關的部分？請局長說明一下。交通局黃代理局長萬發：謝謝主席、謝謝議員。有關這7個通勤車站，因為是鐵路地下化順便規劃出來的，當初在規劃的時候，除了原有的站，譬如鼓山站原有站的設施之外，還考慮到適當的距離、社區部落的聚集點來設立這些捷運通勤站，設立之後，未來就是要考慮轉乘的問題。之前計畫的審查，我們都已經依照相關的轉乘計畫去審查以外，我們最近也頻頻到這些附近的站去找相關的轉乘停車場，公車的轉乘系統，我們也都到附近去勘查、布設，目前大概做的是公車比較多，至於有關於鐵路和鐵路的軌道轉乘，這部分的優惠我們目前還在談，還沒有一個確切的結果。何議員權峰：最主要我要問的是你們知道他們規劃的10到15分鐘，尖峰時刻班距是10分鐘、離峰是15分鐘，這是台鐵自己規劃，還是有跟交通局針對整個大眾運輸未來路網的連接去做一些探討和討論，譬如坐到高雄車站就可以轉乘紅橘兩線，這個時間上有沒有跟你們討論可以搭配得起來呢？請局長答復。交通局黃代理局長萬發：向議員報告，他們在改點的時候是沒有跟我們討論，所以他們時間規劃出來的話，我們公車比較好調整配合轉乘，將來如果在軌道或其他的部分，因為大眾運輸的班次很密，可能這部分如果來做轉乘比較容易。何議員權峰：我覺得這部分交通局要去掌握和規劃，不僅是台鐵捷運化這條路線，其實跟大眾運輸有關的，譬如輕軌的連結，甚至紅橘兩線的連結，以及還在爭取的未來捷運黃線，整個大眾運輸系統相關的連結度，交通局針對這個要有更大的掌握度，局長，先請坐。,"['高雄市立美術館', '高雄市政府交通局']",0,3,5,5,5, , ,1,5,334
1601,2020市總,5449,左營大路紅磚人行道柏油刨除工程，前年底鋪得很好，市長，左營大路紅磚人行道改善重鋪，你覺得如何？請市長回應一下。主席（康議長裕成）：市長，請回答。陳市長菊：這個請養工處回答。主席（康議長裕成）：處長，請回答。養護工程處趙處長建喬：左營大路的紅磚步道我已經跟議員討論很多次，現在路面都沒問題了，只是人行步道的部分，因為牽涉到左營大路纜線的問題、用戶接管問題、號誌路燈的整合，這些工程都需要挖路，如果要做就一次做，不要東做一點、西做一點。另外還有一個問題，議員應該也要思考一下，現在都是1米8，如果要整治改造人行步道或要拓寬，商家會怎麼想？周議員鍾?：處長，我是請你重新鋪設，我知道你的用意。養護工程處趙處長建喬：如果要做就一次做好。另外，如果要做人行步道就要先打通騎樓地，議員也知道現在非常不好處理。周議員鍾?：處長，你說到那裡，我就一個頭兩個大，我感覺要把它單純化。養護工程處趙處長建喬：我們還是要解決，如果要打通騎樓地，請議員出來說商家要如何處理。周議員鍾?：那個問題滿大的，我只是要改善紅磚人行道，處長，我只是想跟你溝通一下。右昌大排溝壩堤凹陷改善工程，請水利局好好執行，因為有答覆了，我就不再重述。樂群路、軍校路、和光街109巷一帶RCP涵管改為場鑄式的排水箱涵。請水利局好好處理，再爭取中央的專案補助，用一些腦筋應該可以爭取到中央的專案補助款。五常里興盛街47巷的工程也應該要早日趕快做，這是6米的，市長你看圖就知道。這現有的既成巷道都是彎曲的，因為巷道這裡都是住家，裡面47巷出來竟然是往左，也就是往右歪掉，直接就是這些現在做為停車場的空間。真正的計畫道路是在這邊，既成巷道在這邊，結果水利局的污水幹管是做在這裡，被人家抗議之後移開。所以地主生氣了，寫上「私人土地，近期封閉，請改道通行。」市長，用人家的土地，這裡是住宅區還讓你們施作污水下水道！市長，這裡要趕快截彎取直，工程款也不多，只需要一千多萬元。,"['高雄市政府工務局養護工程處', '高雄市政府水利局']",0,3,0,2, , , ,1,0,333
1796,2020市總,5876,我們燕巢大學城特定區，有5間大學在我們燕巢，大學城因為大埔阿嬤的問題，針對土地要保留農地要使用調查而延遲，請問地政局長，這個地區調查的進度如何？主席（蔡副議長昌達）：請局長答復。地政局黃局長進雄：目前這個重劃區的都市計畫的部分，已經送到內政部都市計畫專案小組審議過了，準備要送大會，但是送大會之前，內政部給我們訊息，第一個，要公益性、必要性，要去土徵小組做報告，另外要經過原土地管理機關也就是農業局的同意，和我們比較有關的是土地公益性、必要性，我們今年1月30日把公益性、必要性評估報告書送到內政部時，內政部回函給我們他有兩個因素要我們考慮，第一個，農業專區的部分要落實到都市計畫來。第二個，裡面有一些農業特定區要經過行政院專案核准，列重大計畫。和都市計畫比較有關的是農業專區的劃定，我們內部和都發局也有研討，但是我們的想法是，如果這些務農的朋友、地主們都不願意務農的話，就變更都市計畫，就沒有變更都市計畫的問題，所以我們調查的結果有32位，還有3.24公頃的土地所有權人要繼續務農，不過近期內我們仍然找他們開會，再和他們溝通看看，必要時再麻煩翁議員來協助溝通，如果這全部都不用務農的話，都市計畫就可以往上送，剩下就專案送行政院核定專案計畫這部分而已。主席（蔡副議長昌達）：請市長回答。陳市長菊：我答復剛剛翁議員特別提起安東橋被樹枝、竹葉阻塞的問題，因為翁議員特別提到兩邊都是住家，我再和翁議員約時間，我和水利局或是工務局去看，如果這是必要的，我們就一起來做，這樣好嗎？我再跟翁議員約時間。翁議員瑞珠：大學城這裡，如果要去和這些要保留農地的百姓開會時，讓我知道，我會過去，因為農地如果保留著，就是限定住了，以後就永遠無法變建地，所以我會幫忙說服，我希望他們變建地，以後要耕農一樣可以做，我希望如果要開會也讓我知道。目前我們燕巢1號道路周邊的區段徵收，為了1號道路周邊的區段徵收時，市長有答應百姓，是不是讓我們租1號道路？以後這地方趕快開發起來，我想了解目前進度如何？,"['高雄市政府工務局', '高雄市政府地政局', '高雄市政府農業局', '高雄市政府都市發展局', '高雄市政府水利局']",0,3,17, , , , ,1,17,188
2057,2020部門,6528,另外，我要請教吳局長，你的業務報告「路平專案」要整合控管的問題，我們鳳山地區像水利局、電信局、自來水公司，路面是挖來挖去，一下子這個單位，一下子又那個單位。你的業務報告有寫到推動道路齊平，建立良好管控系統。現在進行得如何，是否有落實？主席（陳議員麗珍）：吳局長，請答覆。工務局吳局長宏謀：我們有一個路平專案小組，將來…。陳議員粹鑾：因為我看你寫了十幾點，寫了一長串。工務局吳局長宏謀：這將來我們所有的管線單位，包括府內外挖掘道路的施工單位，全部納管。我們這裡每個月都有協調會報，這些管線單位要施工，要先協調，以能同步施工為原則。要施工的時候要申請開挖，這部分我們中間會抽查、會監督。陳議員粹鑾：對啦！吳局長。我看你業務報告寫了十幾條，寫得很好，我希望能實際落實，我是不知道其他地區怎麼樣，我們鳳山地區被水利局挖得亂七八糟，管線、寬頻、電力公司、自來水，每天都不平靜。希望你寫這個路平…。工務局吳局長宏謀：好，這我們一定會嚴格落實進行，因為這個有涉及到公共安全，雖然我們的面積很大…，〔…。〕好。,"['高雄市政府工務局', '高雄市政府水利局', '自來水公司']",0,2,0,2, , , ,0,0,333
560,2021市總,1968,我知道市長上任以來，腦子裡排第一位的永遠是招商，頭腦排第一位的永遠是橋頭科學園區，頭腦排第一位的永遠是產業的進駐。我在之前的總質詢也借用何權峰議員與邱俊憲議員的時間來談橋頭科學園區的事情，也做了包含這個二階環評，也做了包含這個區徵計畫，期間廠商要進駐設廠這個問題的這些模擬。我希望局處跟市長報告的時候，要報告自己做得到的事情，至於有壓力的事情要找市長來解決，市長會想辦法幫你解決，而不是憋到最後才跟市長說沒有辦法解決。我們雖然是執政黨的議員，我們也是要用很嚴格的態度跟對事情的想法，來對執政團隊做出一些建議。橋頭科學園區這幾個議題，我們也是有點擔心未來廠商進駐可能會客滿，那到底高雄市政府對於廠商進駐要挑什麼樣的廠商？要挑什麼樣的產業？高雄市政府能不能照我們原本的想像來做？這是我們很擔心的，但是我這邊先提出來，橋頭科學園區未來進駐之後，我自己想像好了，有台積電進來了，台積電的員工需要什麼？台積電的員工需要好的住宅，台積電員工需要有學區的住宅，台積電電子廠的員工他需要有公托、有幼兒園、有小學、有學區，他不用載那麼遠的這些住宅，那橋頭現在有沒有能力？可能沒有，所以我想的，我一直在引流就是把這個人才引到左營、引到楠梓，這個是我們認為橋頭科學園區未來進駐之後，左營、楠梓會大爆發的原因。,[],0,2,19, , , , ,0,19,135
2135,2020部門,6868,剛剛談到拖吊的問題，我真的覺得這部分已經推了很多年，每一年都有很大的阻力，我很開心，很謝謝包括一些議員也覺得，這件事應該提早做，我想這部分如果可以，我們再把以前說服議員們的資料重新整理一次，或許來說服把它變成共識。當然剛剛提的配套措施要做，公共運輸的提供、停車場的提供要做，是不是可以更積極面從交通改善來正視拖吊問題。因為5％被拖吊，95％可能會贊成，被拖吊的5％可能很不開心，可是95％認為市容交通整頓，他可能更開心。所以我覺得從這邊來看這個課題，我們願意再把這個提出來，如果可以，我們再進行下一步，這在過去二、三年的計畫一進議會就被砍掉了，那個已經被砍了幾年。〔…。〕你說悠遊卡或是ETC卡，用在高雄，今年已經申請，它是從99、100、101，99是北部、100是中部、101今年是南部。它是一步一步通過來，所以我們今年建，在年底應該會，包括我們的公車、捷運都做完了以後，台北一卡通或是你把ETC的卡片帶過來都可以使用。這個部分是交通部在99～103年計畫，所以我們是屬在101，高屏是101年的計畫，現在都在申請中，包括我們的輪船、公車在換，〔…。〕對、對。〔…。〕現在我們公共運輸這個部分已送出去，現在還沒核定，這是交通部的政策，應該會往這邊走。〔…。〕是，好。〔…。〕我是不是請我們主任趕快去看一下。,[],0,3,5, , , , ,1,5,334
